File,Epochs,Batch Size,Learning Rate,Total Error Margin,PKG_Energy,RAM_Energy,Cache Misses,Time
perf_output4.txt,5,32,0.0001,0.14247431764602642,1188.68,143.11,36089859,13.430742681
perf_output3.txt,5,32,0.001,0.18309031938552847,1196.32,143.59,37898545,13.439607710
perf_output2.txt,5,32,0.01,1.0133085639762862,1193.05,143.32,36246018,13.431652288
perf_output1.txt,5,32,0.1,1.2930874634742693,1193.08,143.75,37753563,13.439472729
perf_output7.txt,5,64,0.001,0.332665332450867,739.33,88.75,35853902,8.312068708
perf_output8.txt,5,64,0.0001,0.10470517606735218,739.31,88.85,35788914,8.305011210
perf_output6.txt,5,64,0.01,0.9435324121952063,740.15,89.00,36081383,8.308015068
perf_output5.txt,5,64,0.1,0.8918394652271272,744.26,89.21,37136729,8.335002010
perf_output12.txt,5,128,0.0001,0.14897706673145325,522.92,61.62,38298868,5.756759945
perf_output10.txt,5,128,0.01,0.5258549171161644,518.39,61.86,35875928,5.764752791
perf_output11.txt,5,128,0.001,0.10057617215156549,516.73,61.63,35556129,5.762006546
perf_output9.txt,5,128,0.1,1.2989521517181333,518.60,61.91,36976710,5.767826551
perf_output16.txt,5,256,0.0001,0.6717780458641037,403.58,48.08,35403262,4.461917008
perf_output15.txt,5,256,0.001,0.07330467617034907,509.79,61.68,36443990,5.752152057
perf_output13.txt,5,256,0.1,1.3060438591003358,516.72,61.56,37642342,5.746781750
perf_output14.txt,5,256,0.01,0.48829754756927485,509.08,61.64,36972180,5.737172365
perf_output17.txt,10,32,0.1,1.302848422546378,2133.08,251.86,43611807,23.704133687
perf_output18.txt,10,32,0.01,0.9580867645835843,2107.14,251.99,38988745,23.705756275
perf_output20.txt,10,32,0.0001,0.24289205405235295,2101.63,251.03,37978756,23.676642558
perf_output19.txt,10,32,0.001,0.11845923764228831,2104.52,251.87,38373899,23.706301362
perf_output22.txt,10,64,0.01,0.9386259090995792,1199.58,143.64,37203832,13.443064940
perf_output21.txt,10,64,0.1,1.309485605773921,1222.74,143.79,43394254,13.444420438
perf_output23.txt,10,64,0.001,nan,1197.61,143.18,36446305,13.429012792
perf_output24.txt,10,64,0.0001,0.10214869612693775,1201.56,143.55,37460856,13.440205376
