File,Language,Size,Range,Type,PKG_Energy,RAM_Energy,Cache Misses,Time
perf_output2006.txt,java,10,531,1,4.28,0.51,256196,0.046352846
perf_output2727.txt,java,10,213,1,4.28,0.51,255612,0.046565184
perf_output3786.txt,java,10,409,1,4.23,0.51,257667,0.046449204
perf_output2047.txt,java,10,377,1,4.27,0.51,258783,0.046400767
perf_output2562.txt,java,10,612,1,4.21,0.50,255322,0.046330560
perf_output921.txt,java,10,340,1,4.25,0.50,259592,0.046443162
perf_output4911.txt,java,10,54,1,4.31,0.52,258644,0.046973448
perf_output2210.txt,java,10,827,1,4.24,0.50,260339,0.046451550
perf_output3019.txt,java,10,892,1,4.32,0.51,257365,0.046625526
perf_output3393.txt,java,10,616,1,5.30,0.55,605634,0.049802623
perf_output1045.txt,java,10,947,1,4.37,0.51,259768,0.046769876
perf_output2309.txt,java,10,225,1,4.33,0.51,260808,0.046814503
perf_output3965.txt,java,10,12,1,4.31,0.51,257942,0.046521295
perf_output1611.txt,java,10,888,1,4.21,0.50,256622,0.046454122
perf_output2775.txt,java,10,502,1,4.29,0.51,255994,0.046617698
perf_output470.txt,java,10,37,1,4.34,0.51,263609,0.046787023
perf_output4293.txt,java,10,674,1,4.34,0.51,253352,0.046431563
perf_output2689.txt,java,10,754,1,4.30,0.51,257391,0.046629069
perf_output3990.txt,java,10,103,1,4.39,0.52,257247,0.046968451
perf_output1833.txt,java,10,64,1,4.24,0.50,259914,0.046418625
perf_output2828.txt,java,10,890,1,4.29,0.51,257024,0.046710341
perf_output2275.txt,java,10,559,1,4.30,0.51,258735,0.046450698
perf_output4841.txt,java,10,239,1,4.30,0.51,254797,0.046598995
perf_output225.txt,java,10,868,1,4.25,0.50,254777,0.046278508
perf_output3013.txt,java,10,678,1,4.24,0.50,256204,0.046545604
perf_output1886.txt,java,10,902,1,4.26,0.50,260792,0.046473927
perf_output4026.txt,java,10,496,1,4.54,0.53,269647,0.047438677
perf_output1171.txt,java,10,909,1,4.27,0.50,255308,0.046260094
perf_output2136.txt,java,10,128,1,4.29,0.51,263535,0.046605847
perf_output1117.txt,java,10,450,1,4.32,0.51,274384,0.046508902
perf_output4528.txt,java,10,650,1,4.27,0.51,257507,0.046438000
perf_output4381.txt,java,10,277,1,4.30,0.51,258851,0.046609494
perf_output1284.txt,java,10,333,1,4.26,0.50,255710,0.046508212
perf_output1866.txt,java,10,825,1,4.30,0.51,257532,0.046543762
perf_output2975.txt,java,10,947,1,4.39,0.51,270778,0.047372479
perf_output1514.txt,java,10,356,1,4.27,0.50,262501,0.046653698
perf_output4132.txt,java,10,828,1,4.72,0.54,262100,0.049804863
perf_output1326.txt,java,10,759,1,4.24,0.50,256354,0.046320910
perf_output1089.txt,java,10,262,1,4.29,0.51,262601,0.046589756
perf_output156.txt,java,10,713,1,4.28,0.51,255082,0.046322101
perf_output914.txt,java,10,56,1,4.25,0.51,255877,0.046314877
perf_output4043.txt,java,10,488,1,4.25,0.51,258852,0.046671156
perf_output4001.txt,java,10,648,1,4.30,0.51,258538,0.046688197
perf_output1818.txt,java,10,727,1,4.27,0.51,262153,0.046430867
perf_output3481.txt,java,10,164,1,4.31,0.51,258658,0.046598291
perf_output3400.txt,java,10,396,1,4.91,0.52,386299,0.046493346
perf_output568.txt,java,10,928,1,4.25,0.50,262050,0.046549305
perf_output1513.txt,java,10,994,1,4.35,0.51,261258,0.046928734
perf_output1925.txt,java,10,205,1,4.24,0.50,259760,0.046424522
perf_output4503.txt,java,10,991,1,4.25,0.51,261307,0.046502940
perf_output2977.txt,java,10,779,1,4.51,0.52,259251,0.047987392
perf_output4370.txt,java,10,866,1,4.22,0.51,251636,0.046653757
perf_output3864.txt,java,10,944,1,4.33,0.52,271511,0.047007205
perf_output4168.txt,java,10,678,1,4.31,0.51,255705,0.046476477
perf_output3701.txt,java,10,265,1,4.25,0.51,256360,0.046341213
perf_output1457.txt,java,10,836,1,4.52,0.51,384813,0.046907326
perf_output3069.txt,java,10,918,1,4.26,0.50,255048,0.046564259
perf_output3779.txt,java,10,506,1,4.28,0.51,260049,0.046546733
