File,Result,Unit,Instruction
perf_output85.txt,0.24,Joules,power/energy-pkg/
perf_output85.txt,0.01,Joules,power/energy-ram/
perf_output85.txt,533,,cpu/cache-misses
perf_output92.txt,0.24,Joules,power/energy-pkg/
perf_output92.txt,0.01,Joules,power/energy-ram/
perf_output92.txt,408,,cpu/cache-misses
perf_output13.txt,0.21,Joules,power/energy-pkg/
perf_output13.txt,0.01,Joules,power/energy-ram/
perf_output13.txt,254,,cpu/cache-misses
perf_output74.txt,0.22,Joules,power/energy-pkg/
perf_output74.txt,0.01,Joules,power/energy-ram/
perf_output74.txt,272,,cpu/cache-misses
perf_output32.txt,0.23,Joules,power/energy-pkg/
perf_output32.txt,0.01,Joules,power/energy-ram/
perf_output32.txt,295,,cpu/cache-misses
perf_output55.txt,0.22,Joules,power/energy-pkg/
perf_output55.txt,0.01,Joules,power/energy-ram/
perf_output55.txt,246,,cpu/cache-misses
perf_output35.txt,0.21,Joules,power/energy-pkg/
perf_output35.txt,0.01,Joules,power/energy-ram/
perf_output35.txt,587,,cpu/cache-misses
perf_output31.txt,0.24,Joules,power/energy-pkg/
perf_output31.txt,0.01,Joules,power/energy-ram/
perf_output31.txt,388,,cpu/cache-misses
perf_output2.txt,0.22,Joules,power/energy-pkg/
perf_output2.txt,0.01,Joules,power/energy-ram/
perf_output2.txt,405,,cpu/cache-misses
perf_output29.txt,0.20,Joules,power/energy-pkg/
perf_output29.txt,0.01,Joules,power/energy-ram/
perf_output29.txt,350,,cpu/cache-misses
perf_output70.txt,0.24,Joules,power/energy-pkg/
perf_output70.txt,0.01,Joules,power/energy-ram/
perf_output70.txt,548,,cpu/cache-misses
perf_output5.txt,0.20,Joules,power/energy-pkg/
perf_output5.txt,0.00,Joules,power/energy-ram/
perf_output5.txt,430,,cpu/cache-misses
perf_output30.txt,0.20,Joules,power/energy-pkg/
perf_output30.txt,0.01,Joules,power/energy-ram/
perf_output30.txt,362,,cpu/cache-misses
perf_output86.txt,0.24,Joules,power/energy-pkg/
perf_output86.txt,0.01,Joules,power/energy-ram/
perf_output86.txt,399,,cpu/cache-misses
perf_output43.txt,0.21,Joules,power/energy-pkg/
perf_output43.txt,0.01,Joules,power/energy-ram/
perf_output43.txt,358,,cpu/cache-misses
perf_output42.txt,0.23,Joules,power/energy-pkg/
perf_output42.txt,0.01,Joules,power/energy-ram/
perf_output42.txt,495,,cpu/cache-misses
perf_output78.txt,0.22,Joules,power/energy-pkg/
perf_output78.txt,0.01,Joules,power/energy-ram/
perf_output78.txt,259,,cpu/cache-misses
perf_output100.txt,0.22,Joules,power/energy-pkg/
perf_output100.txt,0.01,Joules,power/energy-ram/
perf_output100.txt,352,,cpu/cache-misses
perf_output17.txt,0.20,Joules,power/energy-pkg/
perf_output17.txt,0.01,Joules,power/energy-ram/
perf_output17.txt,394,,cpu/cache-misses
perf_output68.txt,0.21,Joules,power/energy-pkg/
perf_output68.txt,0.01,Joules,power/energy-ram/
perf_output68.txt,491,,cpu/cache-misses
perf_output45.txt,0.23,Joules,power/energy-pkg/
perf_output45.txt,0.01,Joules,power/energy-ram/
perf_output45.txt,486,,cpu/cache-misses
perf_output75.txt,0.27,Joules,power/energy-pkg/
perf_output75.txt,0.01,Joules,power/energy-ram/
perf_output75.txt,522,,cpu/cache-misses
perf_output66.txt,0.21,Joules,power/energy-pkg/
perf_output66.txt,0.01,Joules,power/energy-ram/
perf_output66.txt,378,,cpu/cache-misses
perf_output71.txt,0.23,Joules,power/energy-pkg/
