File,Language,Size,Range,Type,PKG_Energy,RAM_Energy,Cache Misses,Time
perf_output75.txt,python,10,416,1,2.31,0.26,199469,0.022596611
perf_output46.txt,python,10,356,1,2.31,0.26,201445,0.022760588
perf_output96.txt,python,10,250,1,2.33,0.26,199358,0.022637275
perf_output44.txt,python,10,154,1,2.32,0.26,192841,0.022655534
perf_output87.txt,python,10,950,1,2.52,0.27,366181,0.023311362
perf_output50.txt,python,10,872,1,2.30,0.26,199586,0.022599906
perf_output17.txt,python,10,937,1,2.29,0.25,196178,0.022504100
perf_output95.txt,python,10,612,1,2.59,0.27,346295,0.023381861
perf_output4.txt,python,10,106,1,2.30,0.26,201790,0.022777430
perf_output68.txt,python,10,845,1,2.27,0.25,194571,0.022795935
perf_output34.txt,python,10,576,1,2.21,0.25,197657,0.022578061
perf_output36.txt,python,10,394,1,2.31,0.26,198672,0.022546991
perf_output63.txt,python,10,134,1,2.31,0.26,201453,0.022732554
perf_output83.txt,python,10,42,1,2.25,0.25,196766,0.022616992
perf_output92.txt,python,10,758,1,2.31,0.26,384785,0.022788262
perf_output12.txt,python,10,682,1,2.25,0.25,191390,0.022527129
perf_output80.txt,python,10,144,1,2.31,0.26,199417,0.022709659
perf_output56.txt,python,10,896,1,2.28,0.25,199334,0.022816729
perf_output76.txt,python,10,547,1,2.31,0.26,210198,0.022647058
perf_output93.txt,python,10,168,1,2.32,0.26,208527,0.022723107
perf_output99.txt,python,10,352,1,2.28,0.25,193066,0.022711335
perf_output78.txt,python,10,698,1,2.21,0.25,199901,0.022799203
perf_output7.txt,python,10,68,1,2.31,0.25,200972,0.022559575
perf_output18.txt,python,10,224,1,2.31,0.26,198932,0.022558061
perf_output66.txt,python,10,365,1,2.30,0.26,289493,0.022809585
perf_output55.txt,python,10,685,1,2.32,0.26,196284,0.023176063
perf_output8.txt,python,10,794,1,2.33,0.26,201319,0.023056329
perf_output27.txt,python,10,47,1,2.31,0.26,195302,0.022540471
perf_output42.txt,python,10,745,1,2.30,0.26,194965,0.022961722
perf_output60.txt,python,10,424,1,2.28,0.25,202957,0.022754721
perf_output3.txt,python,10,517,1,2.25,0.25,197505,0.022717310
perf_output22.txt,python,10,475,1,2.28,0.25,195884,0.022589794
perf_output16.txt,python,10,972,1,2.26,0.25,197224,0.022693189
perf_output21.txt,python,10,596,1,2.31,0.26,205271,0.022663007
perf_output48.txt,python,10,681,1,2.31,0.26,204008,0.022828679
perf_output69.txt,python,10,318,1,2.30,0.26,194069,0.022637461
perf_output98.txt,python,10,590,1,2.30,0.26,200746,0.022793300
perf_output71.txt,python,10,128,1,2.31,0.26,200175,0.022915043
perf_output30.txt,python,10,906,1,2.31,0.26,191490,0.022764392
perf_output73.txt,python,10,324,1,2.31,0.26,198116,0.022829255
perf_output91.txt,python,10,130,1,2.31,0.26,196840,0.022602380
perf_output57.txt,python,10,228,1,2.31,0.26,193255,0.022550218
perf_output38.txt,python,10,374,1,2.28,0.25,196323,0.022613947
perf_output40.txt,python,10,294,1,2.33,0.26,322181,0.023193773
perf_output2.txt,python,10,720,1,2.37,0.25,196656,0.022767545
perf_output26.txt,python,10,786,1,2.33,0.26,254735,0.022678535
perf_output25.txt,python,10,712,1,2.30,0.26,205858,0.022755376
perf_output52.txt,python,10,632,1,2.27,0.25,202718,0.022722014
perf_output62.txt,python,10,615,1,2.27,0.25,203042,0.022754545
perf_output100.txt,python,10,733,1,2.31,0.26,195802,0.022714079
perf_output41.txt,python,10,708,1,2.31,0.26,198978,0.022559102
perf_output33.txt,python,10,885,1,2.26,0.25,195777,0.022574831
perf_output15.txt,python,10,539,1,2.31,0.26,197263,0.022875195
perf_output23.txt,python,10,394,1,2.30,0.27,903830,0.022814941
perf_output10.txt,python,10,363,1,2.25,0.25,194489,0.022486017
perf_output79.txt,python,10,339,1,2.30,0.26,196530,0.022608179
perf_output32.txt,python,10,532,1,2.20,0.25,193458,0.022624281
perf_output88.txt,python,10,251,1,2.30,0.25,220616,0.022816923
perf_output28.txt,python,10,465,1,2.27,0.26,197288,0.022628595
perf_output82.txt,python,10,495,1,2.26,0.25,200261,0.022749520
perf_output6.txt,python,10,520,1,2.31,0.26,202791,0.022651198
perf_output51.txt,python,10,368,1,2.25,0.25,203820,0.022649264
perf_output39.txt,python,10,613,1,2.32,0.26,197854,0.022848320
perf_output81.txt,python,10,431,1,2.31,0.26,199879,0.022810857
perf_output86.txt,python,10,165,1,2.35,0.26,201347,0.023042917
perf_output1.txt,python,10,552,1,2.26,0.25,203872,0.022776651
perf_output13.txt,python,10,609,1,2.71,0.30,230628,0.026735971
perf_output29.txt,python,10,739,1,2.30,0.26,193937,0.022542179
perf_output31.txt,python,10,991,1,2.32,0.26,201425,0.022750316
perf_output53.txt,python,10,930,1,2.31,0.25,195556,0.022644497
perf_output89.txt,python,10,152,1,2.28,0.25,197407,0.022660564
perf_output77.txt,python,10,209,1,2.27,0.25,197927,0.022708447
perf_output20.txt,python,10,673,1,2.32,0.26,201195,0.022744059
perf_output11.txt,python,10,751,1,2.27,0.25,192002,0.022607865
perf_output43.txt,python,10,678,1,2.31,0.26,192786,0.022551764
perf_output9.txt,python,10,51,1,2.24,0.25,199742,0.022584497
perf_output5.txt,python,10,547,1,2.29,0.26,196924,0.022690853
perf_output35.txt,python,10,512,1,2.31,0.26,206087,0.022627101
perf_output58.txt,python,10,430,1,2.31,0.26,194147,0.022716623
perf_output90.txt,python,10,426,1,2.32,0.26,200953,0.022747549
perf_output49.txt,python,10,533,1,2.30,0.26,539264,0.022859584
perf_output97.txt,python,10,852,1,2.37,0.26,200388,0.023000066
perf_output14.txt,python,10,355,1,2.27,0.26,199584,0.022593707
perf_output94.txt,python,10,198,1,2.30,0.26,201445,0.022738635
perf_output85.txt,python,10,794,1,2.31,0.26,196137,0.022704105
perf_output37.txt,python,10,273,1,2.31,0.26,202133,0.022936821
perf_output.txt,,,,,,,,
perf_output65.txt,python,10,634,1,2.30,0.26,198966,0.022769433
perf_output45.txt,python,10,207,1,2.25,0.25,193979,0.022603441
perf_output72.txt,python,10,931,1,2.31,0.26,195234,0.022683142
perf_output54.txt,python,10,351,1,2.32,0.26,195798,0.022708795
perf_output67.txt,python,10,314,1,2.25,0.25,193616,0.022611436
perf_output24.txt,python,10,390,1,2.21,0.25,194532,0.022813634
perf_output84.txt,python,10,729,1,2.20,0.25,192441,0.022632677
perf_output59.txt,python,10,103,1,2.31,0.26,192223,0.022604801
perf_output74.txt,python,10,513,1,2.31,0.26,195155,0.022818211
perf_output70.txt,python,10,547,1,2.31,0.26,198031,0.022680191
perf_output61.txt,python,10,525,1,2.31,0.26,208036,0.022675684
perf_output64.txt,python,10,129,1,2.32,0.26,198052,0.022735280
perf_output19.txt,python,10,9,1,2.25,0.25,201653,0.022665111
perf_output47.txt,python,10,75,1,2.22,0.25,199362,0.022769095
perf_output75.txt,python,100,295,1,2.33,0.26,206366,0.022910073
perf_output46.txt,python,100,471,1,2.25,0.25,197714,0.022622252
perf_output96.txt,python,100,432,1,2.36,0.26,196144,0.022988287
perf_output44.txt,python,100,672,1,2.25,0.25,201362,0.022682261
perf_output87.txt,python,100,797,1,2.34,0.26,199719,0.022674743
perf_output50.txt,python,100,573,1,2.28,0.25,198649,0.022768773
perf_output17.txt,python,100,785,1,2.26,0.25,203511,0.022793786
perf_output95.txt,python,100,427,1,2.32,0.26,192175,0.022546399
perf_output4.txt,python,100,381,1,2.30,0.26,195265,0.022686553
perf_output68.txt,python,100,880,1,2.33,0.26,197315,0.022777510
perf_output34.txt,python,100,158,1,2.40,0.26,206488,0.023210561
perf_output36.txt,python,100,477,1,2.25,0.25,198367,0.022767562
perf_output63.txt,python,100,471,1,2.32,0.26,200569,0.022758067
perf_output83.txt,python,100,205,1,2.31,0.26,198689,0.022674381
perf_output92.txt,python,100,80,1,2.32,0.26,197534,0.022800371
perf_output12.txt,python,100,539,1,2.30,0.26,197027,0.022594951
perf_output80.txt,python,100,367,1,2.32,0.26,193192,0.022835887
perf_output56.txt,python,100,265,1,2.32,0.26,204614,0.022774638
perf_output76.txt,python,100,707,1,2.28,0.25,195046,0.022591031
perf_output93.txt,python,100,271,1,2.31,0.26,201805,0.022718068
perf_output99.txt,python,100,454,1,2.32,0.26,197147,0.022814500
perf_output78.txt,python,100,578,1,2.32,0.27,1051700,0.022980535
perf_output7.txt,python,100,604,1,2.30,0.26,199684,0.022693902
perf_output18.txt,python,100,233,1,2.32,0.26,194257,0.023047109
perf_output66.txt,python,100,573,1,2.32,0.26,200647,0.022757613
perf_output55.txt,python,100,351,1,2.31,0.26,197348,0.022753590
perf_output8.txt,python,100,643,1,2.27,0.25,198554,0.022767585
perf_output27.txt,python,100,704,1,2.21,0.25,197016,0.022651530
perf_output42.txt,python,100,410,1,2.33,0.26,199554,0.022865244
perf_output60.txt,python,100,863,1,2.32,0.26,200215,0.022859758
perf_output3.txt,python,100,120,1,2.33,0.26,201241,0.022835168
perf_output22.txt,python,100,606,1,2.31,0.26,192737,0.022662540
perf_output16.txt,python,100,431,1,2.31,0.25,195268,0.022849301
perf_output21.txt,python,100,629,1,2.31,0.26,193120,0.022748333
perf_output48.txt,python,100,351,1,2.27,0.25,200903,0.022661084
perf_output69.txt,python,100,371,1,2.31,0.26,197457,0.022650179
perf_output98.txt,python,100,472,1,2.32,0.26,194826,0.022710709
perf_output71.txt,python,100,938,1,2.31,0.26,207723,0.023015938
perf_output30.txt,python,100,813,1,2.31,0.26,202029,0.022729049
perf_output73.txt,python,100,864,1,2.30,0.26,203157,0.022528883
perf_output91.txt,python,100,969,1,2.38,0.26,204166,0.023182655
perf_output57.txt,python,100,138,1,2.27,0.25,196710,0.022704667
perf_output38.txt,python,100,464,1,2.31,0.26,194049,0.022733348
perf_output40.txt,python,100,266,1,2.30,0.26,197837,0.022529838
perf_output2.txt,python,100,529,1,2.31,0.26,200283,0.022830880
perf_output26.txt,python,100,412,1,2.22,0.25,196793,0.022708933
perf_output25.txt,python,100,621,1,2.31,0.26,194495,0.022768465
perf_output52.txt,python,100,912,1,2.30,0.26,482510,0.022864463
perf_output62.txt,python,100,780,1,2.28,0.25,192481,0.022621720
perf_output100.txt,python,100,343,1,2.32,0.26,201894,0.022727109
perf_output41.txt,python,100,289,1,2.24,0.25,195937,0.022800147
